
2025-12-03 11:48:22.252595
2025-12-03 15:38:01.775335
2025-12-03 15:39:29.978297
2025-12-03 16:36:25.4617970.0; F1=0.680, Pr=0.623, Re=0.749; {'seq_avg': {'precision': 0.6227746601274994, 'recall': 0.7489774704157057, 'f1': 0.6800706617405966}, 'frame_avg': {'precision': 0.5593759266719666, 'recall': 0.741020133803025, 'f1': 0.6375116576056765}}
0.05; F1=0.680, Pr=0.622, Re=0.749; {'seq_avg': {'precision': 0.6224714395860156, 'recall': 0.7489596746485639, 'f1': 0.6798824994291652}, 'frame_avg': {'precision': 0.559029544654995, 'recall': 0.7410013818542223, 'f1': 0.6372797087204539}}
0.1; F1=0.679, Pr=0.622, Re=0.749; {'seq_avg': {'precision': 0.6219070776093875, 'recall': 0.7487983607120572, 'f1': 0.6794793209537525}, 'frame_avg': {'precision': 0.5584623542722534, 'recall': 0.7409031404001658, 'f1': 0.6368747111910902}}
0.15; F1=0.678, Pr=0.620, Re=0.748; {'seq_avg': {'precision': 0.6200691950738255, 'recall': 0.7476364505990567, 'f1': 0.6779036609192827}, 'frame_avg': {'precision': 0.5571617625947982, 'recall': 0.7403997557352173, 'f1': 0.6358425818008465}}
0.2; F1=0.675, Pr=0.617, Re=0.746; {'seq_avg': {'precision': 0.6169596446731401, 'recall': 0.7455251465326149, 'f1': 0.6751766074285557}, 'frame_avg': {'precision': 0.5546066087749991, 'recall': 0.7384787940124021, 'f1': 0.6334697131629548}}
0.25; F1=0.672, Pr=0.613, Re=0.743; {'seq_avg': {'precision': 0.6129209743663007, 'recall': 0.7427291283118587, 'f1': 0.6716102630255373}, 'frame_avg': {'precision': 0.550863424327042, 'recall': 0.7355307826019961, 'f1': 0.629942211212765}}
0.3; F1=0.665, Pr=0.606, Re=0.738; {'seq_avg': {'precision': 0.6062450371621815, 'recall': 0.7375900943250846, 'f1': 0.6654988006596925}, 'frame_avg': {'precision': 0.5459777997934087, 'recall': 0.7320421509620112, 'f1': 0.6254656082669581}}
0.35; F1=0.657, Pr=0.597, Re=0.730; {'seq_avg': {'precision': 0.5974409619531124, 'recall': 0.7302821168747303, 'f1': 0.6572160375309202}, 'frame_avg': {'precision': 0.539386720035052, 'recall': 0.726837743185118, 'f1': 0.6192371695256553}}
0.4; F1=0.645, Pr=0.585, Re=0.719; {'seq_avg': {'precision': 0.5845445138335498, 'recall': 0.7186243334796508, 'f1': 0.6446868531409317}, 'frame_avg': {'precision': 0.5302700847765888, 'recall': 0.7190016857416193, 'f1': 0.610379732977664}}
0.45; F1=0.628, Pr=0.568, Re=0.702; {'seq_avg': {'precision': 0.5678606644041716, 'recall': 0.7017872474547431, 'f1': 0.6277604505749136}, 'frame_avg': {'precision': 0.5181766593953853, 'recall': 0.7075759045615644, 'f1': 0.5982436084992055}}
0.5; F1=0.607, Pr=0.548, Re=0.681; {'seq_avg': {'precision': 0.5476489048934655, 'recall': 0.681025089864136, 'f1': 0.6070978083045501}, 'frame_avg': {'precision': 0.5026700413308897, 'recall': 0.6927654765537468, 'f1': 0.582603487217938}}
0.55; F1=0.578, Pr=0.520, Re=0.652; {'seq_avg': {'precision': 0.5195517888938358, 'recall': 0.6517317746564372, 'f1': 0.5781834902136791}, 'frame_avg': {'precision': 0.48215697420665105, 'recall': 0.6720564447298382, 'f1': 0.561484897975958}}
0.6; F1=0.542, Pr=0.485, Re=0.614; {'seq_avg': {'precision': 0.4847201292201033, 'recall': 0.6139829726949482, 'f1': 0.5417476392756171}, 'frame_avg': {'precision': 0.4568440168290062, 'recall': 0.645305030981721, 'f1': 0.5349616606197578}}
0.65; F1=0.498, Pr=0.443, Re=0.568; {'seq_avg': {'precision': 0.44290597432998624, 'recall': 0.5677773973786228, 'f1': 0.4976276614967894}, 'frame_avg': {'precision': 0.42510086190899155, 'recall': 0.6109392446972031, 'f1': 0.5013527909562424}}
0.7; F1=0.444, Pr=0.392, Re=0.511; {'seq_avg': {'precision': 0.3924385527180405, 'recall': 0.5107042773127207, 'f1': 0.44382802097579754}, 'frame_avg': {'precision': 0.3864390993358204, 'recall': 0.567667241465008, 'f1': 0.45984144142687566}}
0.75; F1=0.385, Pr=0.338, Re=0.447; {'seq_avg': {'precision': 0.33777118214124496, 'recall': 0.4470067670521372, 'f1': 0.3847865610585117}, 'frame_avg': {'precision': 0.3419063756645136, 'recall': 0.5153438161256374, 'f1': 0.41108030789631744}}
0.8; F1=0.323, Pr=0.281, Re=0.381; {'seq_avg': {'precision': 0.28077982757664366, 'recall': 0.38071922581331913, 'f1': 0.32320009539290756}, 'frame_avg': {'precision': 0.2921039447385274, 'recall': 0.4551835535064867, 'f1': 0.35584942039469597}}
0.85; F1=0.258, Pr=0.221, Re=0.308; {'seq_avg': {'precision': 0.22131667290677126, 'recall': 0.3084216146261124, 'f1': 0.25770780480860894}, 'frame_avg': {'precision': 0.23916613065843487, 'recall': 0.3868108920040352, 'f1': 0.2955765498984642}}
0.9; F1=0.194, Pr=0.164, Re=0.236; {'seq_avg': {'precision': 0.16433277840385344, 'recall': 0.23610519092362844, 'f1': 0.19378692827363372}, 'frame_avg': {'precision': 0.1843200645359111, 'recall': 0.31091682380678803, 'f1': 0.23143756201662807}}
0.95; F1=0.136, Pr=0.114, Re=0.168; {'seq_avg': {'precision': 0.1142006601297679, 'recall': 0.1679760064880893, 'f1': 0.13596425995690745}, 'frame_avg': {'precision': 0.1324615840411729, 'recall': 0.23158088677085445, 'f1': 0.1685274304775618}}
1.0; F1=0.080, Pr=0.066, Re=0.101; {'seq_avg': {'precision': 0.06617908943333076, 'recall': 0.10138815238921967, 'f1': 0.08008457418606701}, 'frame_avg': {'precision': 0.08260899486763172, 'recall': 0.15096892139492904, 'f1': 0.1067857017670003}}
