
2025-12-03 11:48:21.270973
2025-12-03 15:38:00.810855
2025-12-03 15:39:28.986355
2025-12-03 15:39:54.6101210.0; F1=0.667, Pr=0.637, Re=0.701; {'seq_avg': {'precision': 0.6365113594689146, 'recall': 0.7008738429138296, 'f1': 0.6671438591880149}, 'frame_avg': {'precision': 0.5702382808077375, 'recall': 0.6652779759329388, 'f1': 0.6141027561321294}}
0.05; F1=0.667, Pr=0.636, Re=0.701; {'seq_avg': {'precision': 0.6363802254807291, 'recall': 0.7007246448123364, 'f1': 0.6670042378468646}, 'frame_avg': {'precision': 0.570056980902162, 'recall': 0.6648915250386946, 'f1': 0.6138329712820344}}
0.1; F1=0.666, Pr=0.635, Re=0.699; {'seq_avg': {'precision': 0.6353189414519964, 'recall': 0.6987634568474891, 'f1': 0.6655325942318983}, 'frame_avg': {'precision': 0.5684730699994771, 'recall': 0.658315929392669, 'f1': 0.610104716616854}}
0.15; F1=0.663, Pr=0.633, Re=0.696; {'seq_avg': {'precision': 0.6329489782776322, 'recall': 0.695642693294922, 'f1': 0.6628166371781686}, 'frame_avg': {'precision': 0.5652963852195412, 'recall': 0.6490947225221193, 'f1': 0.6043043266171428}}
0.2; F1=0.659, Pr=0.629, Re=0.692; {'seq_avg': {'precision': 0.628800401176723, 'recall': 0.6915572733819688, 'f1': 0.6586874137488613}, 'frame_avg': {'precision': 0.5609647371931599, 'recall': 0.6426586880383555, 'f1': 0.5990392916638252}}
0.25; F1=0.653, Pr=0.622, Re=0.686; {'seq_avg': {'precision': 0.6223475251153621, 'recall': 0.6864435515875206, 'f1': 0.6528260362809241}, 'frame_avg': {'precision': 0.5550139958923432, 'recall': 0.6381072087755797, 'f1': 0.5936671485925284}}
0.3; F1=0.644, Pr=0.612, Re=0.678; {'seq_avg': {'precision': 0.6124733393946097, 'recall': 0.6784053785967519, 'f1': 0.6437556091078072}, 'frame_avg': {'precision': 0.5468361161920581, 'recall': 0.6323825049661257, 'f1': 0.5865063301389187}}
0.35; F1=0.632, Pr=0.600, Re=0.668; {'seq_avg': {'precision': 0.5999955433929033, 'recall': 0.6676678352634474, 'f1': 0.6320253978614825}, 'frame_avg': {'precision': 0.5368216280965221, 'recall': 0.6242898386317638, 'f1': 0.5772611797947966}}
0.4; F1=0.614, Pr=0.581, Re=0.651; {'seq_avg': {'precision': 0.5810412868855374, 'recall': 0.6511714190138707, 'f1': 0.6141106604005238}, 'frame_avg': {'precision': 0.5228806327699067, 'recall': 0.6126624908802429, 'f1': 0.5642222549436975}}
0.45; F1=0.591, Pr=0.558, Re=0.629; {'seq_avg': {'precision': 0.5578750093379108, 'recall': 0.6293927382508164, 'f1': 0.591479858594655}, 'frame_avg': {'precision': 0.5051982657779954, 'recall': 0.5969536346248879, 'f1': 0.5472565820593771}}
0.5; F1=0.564, Pr=0.530, Re=0.603; {'seq_avg': {'precision': 0.5304230917061153, 'recall': 0.6028421234400648, 'f1': 0.5643187113698053}, 'frame_avg': {'precision': 0.4848514638498516, 'recall': 0.5780139457225518, 'f1': 0.5273497569592642}}
0.55; F1=0.528, Pr=0.494, Re=0.567; {'seq_avg': {'precision': 0.49403851955394107, 'recall': 0.5669619065707976, 'f1': 0.5279941724222947}, 'frame_avg': {'precision': 0.45824765716912313, 'recall': 0.552610017200375, 'f1': 0.501024530220259}}
0.6; F1=0.486, Pr=0.452, Re=0.524; {'seq_avg': {'precision': 0.45220400260926946, 'recall': 0.5242146739973369, 'f1': 0.4855539523925268}, 'frame_avg': {'precision': 0.4262009767391208, 'recall': 0.5206448175930994, 'f1': 0.46871271144809556}}
0.65; F1=0.435, Pr=0.403, Re=0.473; {'seq_avg': {'precision': 0.4030524970394962, 'recall': 0.4727215726399619, 'f1': 0.4351158977034127}, 'frame_avg': {'precision': 0.3883239334430149, 'recall': 0.48161665980171675, 'f1': 0.42996792470236095}}
0.7; F1=0.379, Pr=0.349, Re=0.415; {'seq_avg': {'precision': 0.3492032258547708, 'recall': 0.4145607017244964, 'f1': 0.37908555020042384}, 'frame_avg': {'precision': 0.34330241956661456, 'recall': 0.4337007176044831, 'f1': 0.38324299761124403}}
0.75; F1=0.318, Pr=0.291, Re=0.351; {'seq_avg': {'precision': 0.2905873090554822, 'recall': 0.35067215541381164, 'f1': 0.3178148117836156}, 'frame_avg': {'precision': 0.292941947288402, 'recall': 0.3784911018204669, 'f1': 0.3302664965502541}}
0.8; F1=0.254, Pr=0.230, Re=0.284; {'seq_avg': {'precision': 0.230238160238689, 'recall': 0.2843010272259466, 'f1': 0.25442938869246084}, 'frame_avg': {'precision': 0.23911405911061753, 'recall': 0.3176910789383163, 'f1': 0.27285812661267655}}
0.85; F1=0.193, Pr=0.173, Re=0.219; {'seq_avg': {'precision': 0.17281025428472338, 'recall': 0.21931376090374202, 'f1': 0.19330449205820294}, 'frame_avg': {'precision': 0.1850642505057115, 'recall': 0.25360257781622675, 'f1': 0.21397912018746193}}
0.9; F1=0.136, Pr=0.120, Re=0.157; {'seq_avg': {'precision': 0.11966504366683027, 'recall': 0.15663913862546672, 'f1': 0.13567821672508734}, 'frame_avg': {'precision': 0.13453961411893992, 'recall': 0.18969488435737458, 'f1': 0.1574260398675156}}
0.95; F1=0.086, Pr=0.075, Re=0.101; {'seq_avg': {'precision': 0.07522425200858417, 'recall': 0.10098180749293742, 'f1': 0.086220428021835}, 'frame_avg': {'precision': 0.08888439354773384, 'recall': 0.12788562454816527, 'f1': 0.10487646106490679}}
1.0; F1=0.045, Pr=0.039, Re=0.054; {'seq_avg': {'precision': 0.03885702901363113, 'recall': 0.05383094764271225, 'f1': 0.04513445583432047}, 'frame_avg': {'precision': 0.05069095009415891, 'recall': 0.07378267990848081, 'f1': 0.06009488347009378}}
